Selectivity_Zone,Filter_Desc,Metric_Naive_Lat,Metric_Naive_Recall,Metric_Bitmap_Lat,Metric_Bitmap_Recall,Metric_Adaptive_Lat,Metric_Adaptive_Recall
1. Rare (<1%),Price > $425 (Top 1% - Rare),12.312832986935973,0.0,3.741792170330882,30.0,80.39354206994176,30.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),18.149791983887553,70.0,2.7850421611219645,90.0,0.9849579073488712,100.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),14.520958065986633,20.0,4.776792135089636,30.0,3.204124979674816,100.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),6.929874885827303,0.0,7.118041859939694,0.0,75.58562513440847,10.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),12.649417156353593,0.0,1.9767079502344131,10.0,78.1385418958962,0.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),8.444583043456078,30.0,4.518541973084211,70.0,69.75354114547372,70.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),11.570458067581058,0.0,5.496792029589415,20.0,82.7239581849426,20.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),17.564457841217518,0.0,10.9049160964787,40.0,78.43400002457201,30.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),14.88099992275238,10.0,2.7724578976631165,20.0,2.2017909213900566,100.0
1. Rare (<1%),Price > $425 (Top 1% - Rare),5.4131250362843275,0.0,1.9153340253978968,40.0,79.68020904809237,30.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.7913338486105204,100.0,0.0016670674085617065,0.0,0.34883315674960613,100.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.8489580359309912,0.0,0.00062515027821064,0.0,3.564125159755349,10.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),1.0280830319970846,100.0,0.0010831281542778015,0.0,0.9108339436352253,100.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.5313330329954624,0.0,0.0007499475032091141,0.0,96.32579097524285,20.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.625415937975049,0.0,0.0017909333109855652,0.0,77.22637499682605,0.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.3739160019904375,50.0,0.001500127837061882,0.0,0.43337512761354446,100.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.6362090352922678,0.0,0.0008749775588512421,0.0,79.58941604010761,10.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.7402501069009304,10.0,0.0016670674085617065,0.0,9.28879203274846,90.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),1.0972910095006227,0.0,0.001500127837061882,0.0,84.57350009121001,0.0
1. Rare (<1%),Brand = Sony (1.5% - Rare),0.811500009149313,0.0,0.0010828953236341476,0.0,81.27849991433322,50.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.48708287067711353,50.0,10.968208080157638,100.0,0.7764159236103296,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.5821250379085541,100.0,19.689250038936734,100.0,0.47566695138812065,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.9257078636437654,100.0,21.822083042934537,100.0,1.1157088447362185,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.381499994546175,0.0,163.81420800462365,60.0,1.9091248977929354,80.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.4863340873271227,0.0,7.154999999329448,40.0,72.27929099462926,20.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.4479160998016596,80.0,7.380625000223517,100.0,0.3907920327037573,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.5147911142557859,0.0,6.151624955236912,90.0,1.1292500421404839,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.6028751377016306,50.0,11.740999994799495,90.0,1.0400000028312206,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),1.124541973695159,20.0,7.940584095194936,100.0,1.6874170396476984,100.0
2. Medium (1-10%),Price > $49 (Top 10% - Medium),0.6041659507900476,0.0,6.3573329243808985,70.0,2.0153329242020845,80.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.4909159615635872,0.0,0.0009168870747089386,0.0,81.75829099491239,70.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.5572088994085789,0.0,0.0013329554349184036,0.0,76.4492079615593,0.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.8542498107999563,0.0,0.0021248124539852142,0.0,81.91175013780594,40.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.4420829936861992,0.0,0.0017080456018447876,0.0,70.56379108689725,0.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.5073749925941229,0.0,0.001500127837061882,0.0,71.93120894953609,0.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.3775001969188452,100.0,0.0014998950064182281,0.0,0.17683301120996475,100.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.49645802937448025,0.0,0.0006668269634246826,0.0,72.43375014513731,30.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.6692090537399054,20.0,0.0012498348951339722,0.0,2.0520840771496296,70.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.6098330486565828,0.0,0.000959029421210289,0.0,2.4104169569909573,90.0
1. Rare (<1%),Brand = Samsung (0.8% - Medium Rare),0.6405841559171677,0.0,0.000959029421210289,0.0,73.24270787648857,50.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.5765841342508793,100.0,11.951165972277522,50.0,0.34016603603959084,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.5699999164789915,100.0,11.661292053759098,100.0,0.5022920668125153,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.9274159092456102,100.0,12.02208292670548,80.0,0.928875058889389,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.4022920038551092,10.0,11.26945880241692,50.0,0.980334123596549,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.43150014244019985,100.0,11.898458935320377,30.0,0.397249823436141,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.36049983464181423,100.0,11.237167054787278,80.0,0.26633404195308685,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.4662501160055399,10.0,11.538249906152487,40.0,0.8371670264750719,90.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.5167501512914896,80.0,11.274374788627028,70.0,0.6980421021580696,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.7767919450998306,100.0,13.189332792535424,10.0,0.8102499414235353,100.0
3. Common (>10%),Price > $10 (Top 18% - Common),0.6910839583724737,80.0,11.78866601549089,10.0,0.6512501277029514,100.0
3. Common (>10%),Category = Computers (31% - Very Common),0.7239170372486115,30.0,0.0007080379873514175,0.0,1.645792042836547,100.0
3. Common (>10%),Category = Computers (31% - Very Common),0.575625104829669,100.0,0.0005830079317092896,0.0,0.31141703948378563,100.0
3. Common (>10%),Category = Computers (31% - Very Common),1.1244588531553745,0.0,0.0006249174475669861,0.0,7.56854098290205,50.0
